subject,gender,age
100004,M,22-25
100206,M,26-30
100307,F,26-30
100408,M,31-35
100610,M,26-30
101006,F,31-35
101107,M,22-25
101208,F,31-35
101309,M,26-30
101410,M,26-30
101612,F,26-30
101915,F,31-35
102008,M,22-25
102109,M,26-30
102311,F,26-30
102513,M,26-30
102614,M,22-25
102715,M,26-30
102816,F,26-30
103010,M,22-25
103111,M,26-30
103212,M,31-35
103414,F,22-25
103515,F,26-30
103818,F,31-35
104012,F,26-30
104113,M,26-30
104416,F,31-35
104820,F,36+
105014,F,26-30
105115,M,31-35
105216,M,26-30
105620,F,31-35
105923,F,31-35
106016,F,31-35
106218,M,26-30
106319,M,26-30
106521,F,26-30
106824,M,22-25
107018,F,26-30
107119,M,36+
107220,F,26-30
107321,F,22-25
107422,M,22-25
107523,M,22-25
107725,F,31-35
108020,M,22-25
108121,F,26-30
108222,M,31-35
108323,F,26-30
108525,M,22-25
108828,M,31-35
109123,M,31-35
109325,M,31-35
109830,F,31-35
110007,F,31-35
110411,M,31-35
110613,M,26-30
111009,F,26-30
111211,F,26-30
111312,F,31-35
111413,F,26-30
111514,M,31-35
111716,F,31-35
112112,M,26-30
112314,F,26-30
112516,F,31-35
112819,F,26-30
112920,M,31-35
113215,F,26-30
113316,M,22-25
113417,F,26-30
113619,F,31-35
113821,F,26-30
113922,M,31-35
114116,F,26-30
114217,F,26-30
114318,F,22-25
114419,M,31-35
114621,M,26-30
114823,F,31-35
114924,M,26-30
115017,F,31-35
115219,M,31-35
115320,F,31-35
115724,F,22-25
115825,M,22-25
116120,F,31-35
116221,M,22-25
116322,F,31-35
116423,M,26-30
116524,M,26-30
116726,M,26-30
117021,F,26-30
117122,F,26-30
117324,F,22-25
117728,F,22-25
117930,F,31-35
118023,F,26-30
118124,F,31-35
118225,M,26-30
118528,F,26-30
118730,M,22-25
118831,M,22-25
118932,M,26-30
119025,M,26-30
119126,F,22-25
119732,F,31-35
119833,F,26-30
120010,F,26-30
120111,F,26-30
120212,F,31-35
120414,F,26-30
120515,F,26-30
120717,F,31-35
120818,M,22-25
121315,M,26-30
121416,M,26-30
121618,M,31-35
121719,F,31-35
121820,F,31-35
121921,M,31-35
122317,M,31-35
122418,F,26-30
122519,F,31-35
122620,M,26-30
122822,F,31-35
123117,M,26-30
123420,F,26-30
123521,M,22-25
123723,F,31-35
123824,M,22-25
123925,F,26-30
124220,M,31-35
124321,M,26-30
124422,F,31-35
124624,F,26-30
124826,F,31-35
125222,M,26-30
125424,F,31-35
125525,F,31-35
126325,F,26-30
126426,F,31-35
126628,M,31-35
126931,F,31-35
127226,M,22-25
127327,M,22-25
127630,F,22-25
127731,F,31-35
127832,F,31-35
127933,M,31-35
128026,F,26-30
128127,F,26-30
128329,F,31-35
128632,F,31-35
128935,M,31-35
129028,M,26-30
129129,F,31-35
129331,F,26-30
129432,M,22-25
129533,F,31-35
129634,M,22-25
129937,F,26-30
130013,M,26-30
130114,M,26-30
130316,F,26-30
130417,M,26-30
130518,F,31-35
130619,F,26-30
130720,M,31-35
130821,F,22-25
130922,F,31-35
131217,F,26-30
131419,F,26-30
131621,F,26-30
131722,F,26-30
131823,M,26-30
131924,M,22-25
132017,F,22-25
132118,F,26-30
132320,F,26-30
133019,F,26-30
133221,M,26-30
133625,M,26-30
133726,F,31-35
133827,M,22-25
133928,M,26-30
134021,F,31-35
134223,F,26-30
134324,M,26-30
134425,F,26-30
134627,M,26-30
134728,M,26-30
134829,F,31-35
135124,F,31-35
135225,F,22-25
135427,M,22-25
135528,F,26-30
135629,M,22-25
135730,M,22-25
135932,F,26-30
136126,M,26-30
136227,M,31-35
136328,M,26-30
136530,M,31-35
136631,M,22-25
136732,F,31-35
136833,M,31-35
137027,M,31-35
137128,F,31-35
137229,M,22-25
137431,F,31-35
137532,M,31-35
137633,F,22-25
137936,M,31-35
138130,F,31-35
138231,F,31-35
138332,M,26-30
138534,M,22-25
138837,M,22-25
139233,F,31-35
139435,F,26-30
139637,F,31-35
139839,M,26-30
140117,F,26-30
140319,F,36+
140420,F,26-30
140723,M,31-35
140824,M,31-35
140925,F,22-25
141119,M,26-30
141422,F,31-35
141624,F,22-25
141826,F,26-30
142424,M,26-30
142828,M,31-35
143224,F,26-30
143325,F,31-35
143426,F,26-30
143527,M,26-30
143830,F,26-30
144125,F,31-35
144226,F,31-35
144428,M,22-25
144731,F,26-30
144832,F,22-25
144933,M,26-30
145127,M,22-25
145531,M,31-35
145632,M,26-30
145834,F,26-30
146129,M,22-25
146331,F,26-30
146432,M,31-35
146533,M,26-30
146634,F,26-30
146735,F,31-35
146836,M,26-30
146937,F,31-35
147030,M,26-30
147636,F,22-25
147737,F,31-35
148032,F,31-35
148133,F,26-30
148234,F,26-30
148335,F,31-35
148436,M,26-30
148840,F,22-25
148941,M,26-30
149236,F,22-25
149337,M,31-35
149539,M,22-25
149741,M,26-30
149842,F,31-35
150019,M,26-30
150423,F,26-30
150524,F,26-30
150625,M,26-30
150726,M,22-25
150928,M,22-25
151021,M,31-35
151223,F,26-30
151324,M,22-25
151425,F,26-30
151526,M,26-30
151627,F,26-30
151728,M,31-35
151829,F,31-35
151930,M,31-35
152225,M,31-35
152427,F,31-35
152831,M,26-30
152932,F,22-25
153025,F,22-25
153126,F,26-30
153227,F,31-35
153429,M,31-35
153631,F,22-25
153732,F,26-30
153833,F,22-25
153934,M,26-30
154229,F,22-25
154330,M,26-30
154431,F,26-30
154532,M,26-30
154734,M,31-35
154835,F,31-35
154936,M,26-30
155231,F,31-35
155635,F,26-30
155938,M,26-30
156031,F,26-30
156233,F,22-25
156334,F,26-30
156435,M,22-25
156536,M,22-25
156637,M,31-35
157235,M,31-35
157336,F,31-35
157437,F,26-30
157942,F,36+
158035,F,26-30
158136,M,31-35
158338,M,22-25
158540,M,31-35
158843,M,26-30
159138,M,31-35
159239,F,31-35
159340,M,26-30
159441,F,26-30
159744,M,31-35
159845,F,31-35
159946,M,26-30
160123,M,31-35
160729,F,22-25
160830,F,26-30
160931,F,31-35
161327,F,26-30
161630,F,26-30
161731,F,31-35
161832,M,26-30
162026,F,31-35
162228,M,22-25
162329,F,26-30
162733,F,26-30
162834,F,26-30
162935,M,22-25
163129,M,26-30
163331,M,31-35
163432,F,31-35
163836,F,31-35
164030,M,31-35
164131,M,26-30
164636,M,22-25
164939,F,26-30
165032,M,22-25
165234,F,22-25
165436,M,26-30
165638,M,26-30
165840,M,31-35
165941,F,26-30
166438,M,31-35
166640,M,22-25
167036,F,26-30
167238,F,31-35
167440,F,26-30
167743,F,26-30
168038,M,26-30
168139,M,22-25
168240,M,26-30
168341,M,31-35
168745,F,22-25
168947,F,26-30
169040,M,22-25
169141,M,22-25
169343,F,31-35
169444,F,26-30
169545,M,22-25
169747,F,26-30
169949,M,26-30
170631,F,31-35
170934,F,26-30
171128,F,36+
171330,M,26-30
171431,F,26-30
171532,F,31-35
171633,M,26-30
171734,F,26-30
172029,M,26-30
172130,M,26-30
172332,F,26-30
172433,M,22-25
172534,F,22-25
172635,M,31-35
172938,F,31-35
173132,M,31-35
173233,M,26-30
173334,M,26-30
173435,F,26-30
173536,F,31-35
173637,F,22-25
173738,M,31-35
173839,F,22-25
173940,F,26-30
174437,F,31-35
174841,M,22-25
175035,M,22-25
175136,F,22-25
175237,F,31-35
175338,F,22-25
175439,F,31-35
175540,M,31-35
175742,F,31-35
175944,M,26-30
176037,F,26-30
176239,M,31-35
176441,M,26-30
176542,F,26-30
176744,M,31-35
176845,F,26-30
177140,F,31-35
177241,M,26-30
177342,M,22-25
177645,F,26-30
177746,F,26-30
178142,F,26-30
178243,M,22-25
178647,F,31-35
178748,M,31-35
178849,M,22-25
178950,M,31-35
179043,F,26-30
179245,F,31-35
179346,F,26-30
179548,F,26-30
179952,F,26-30
180129,F,26-30
180230,F,26-30
180432,F,31-35
180533,F,31-35
180735,F,31-35
180836,F,31-35
180937,M,36+
181131,F,31-35
181232,F,26-30
181636,F,31-35
182032,F,31-35
182436,F,31-35
182739,F,26-30
182840,M,31-35
183034,M,31-35
183337,F,31-35
183741,M,31-35
184642,F,31-35
185038,M,31-35
185139,F,31-35
185341,F,22-25
185442,M,22-25
185846,M,26-30
185947,F,26-30
186040,M,26-30
186141,M,31-35
186242,M,26-30
186444,F,22-25
186545,F,31-35
186848,F,26-30
186949,M,22-25
187143,M,26-30
187345,F,31-35
187547,F,31-35
187850,M,22-25
188145,F,31-35
188246,M,26-30
188347,F,26-30
188448,F,22-25
188549,M,22-25
188751,M,26-30
189349,F,26-30
189450,M,22-25
189551,F,31-35
189652,M,26-30
190031,F,26-30
190132,F,31-35
190940,M,31-35
191033,F,26-30
191235,M,22-25
191336,M,26-30
191437,F,31-35
191639,M,22-25
191841,F,26-30
191942,M,26-30
192035,F,26-30
192136,M,22-25
192237,F,31-35
192439,F,31-35
192540,F,26-30
192641,F,31-35
192843,M,26-30
193239,F,26-30
193441,M,26-30
193845,M,22-25
194140,F,26-30
194443,M,26-30
194645,M,26-30
194746,M,31-35
194847,F,31-35
194948,F,31-35
195041,F,31-35
195445,F,26-30
195647,F,31-35
195849,M,22-25
195950,M,26-30
196144,F,31-35
196346,M,26-30
196548,M,22-25
196750,F,26-30
196851,M,26-30
196952,F,26-30
197348,F,26-30
197449,F,22-25
197550,F,26-30
197651,F,31-35
197954,F,31-35
198047,F,26-30
198249,M,26-30
198350,M,31-35
198451,M,26-30
198653,M,22-25
198855,M,26-30
199150,F,26-30
199251,F,31-35
199352,F,22-25
199453,M,22-25
199554,M,31-35
199655,M,31-35
199958,M,31-35
200008,F,26-30
200109,F,31-35
200210,M,26-30
200311,M,31-35
200513,M,22-25
200614,F,31-35
200816,F,26-30
200917,F,22-25
201111,M,26-30
